Name,Position,Department,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01
Kyrylo Melnyk,QA Lead,QA department,486 700,413939,218056,376 372,159 991,493 948,187 629,486 766,131920,124754,175 229,282 347,437 303,106 479,265 184,394986,120067,371 546,241 826,287245,208 503,241 832,455995,358629,212 049,431852,481 942,387 686,143296,457212,334165,331609,259 969,304 269,140 733,235188,465145,332853,281 964,487 616,285 830,294003,150 715,299734,103343,449 388,100 432,247848,315 177,148 871,401088,249693,226 976,378 143,495348,269308,166181,197797,181385,284 211,189 346,336 392,221 170,235 546,254993,430120,177 863,121 356,156 414,341 660,421678,138997,311906,454 049,174 972,440 122,360 335,214 701,438409,270925,208 301,355 920,115 137,320 682,153 650,278074,202886,162 146,459 876,311 624,361550,159 640
Vadym Nazarenko,HR Specialist,HR department,153840,120298,226999,485615,190157,265586,146970,332221,268367,318922,224497,270391,240777,209840,129818,386962,291714,184965,227607,270017,490851,161271,338855,117677,202004,130465,291231,347244,138275,193544,492520,174541,301195,443045,159200,481 742,137476,282595,189390,290 632,152 030,310 475,189 881,159237,465416,214 072,338 649,462 438,334 020,182813,370370,112236,261998,235011,446968,407356,346811,232139,364125,280 869,242336,476978,278 134,318 009,276053,428398,424 099,358 122,240 657,179 360,234 743,174126,470348,117 109,159 661,360 739,280 968,123 081,136831,104 121,189681,492 558,290 671,391 736,284593,273803,314791,124 941,230 404,177 696,478597,147 539
Oleksandr Vasylenko,UI/UX Designer,UI/UX Design department,402 762,240508,175230,237324,143 880,404243,231 136,450282,112864,321091,439 402,491124,228 651,416439,145 613,318131,461500,289 854,341 228,231 848,389 269,306 818,495572,416110,155772,300 359,349084,458 566,257292,225017,296852,312358,466110,401583,142994,417959,424278,222955,103 323,140 301,136 421,452 916,282 417,209455,425443,461683,202 262,345 619,419 270,492195,254714,414201,226 514,164 218,274 827,197 812,226 875,268610,234999,164829,223729,277 244,137 816,138503,379212,300 370,261 436,218 852,474 317,471015,310817,116126,305 223,177 385,310 223,139 518,364 689,306 075,436653,232165,444 000,496 107,409 867,117852,492545,499136,175454,340 626,415 614,465098,485 269,465099
Maksym Rudchenko,Senior Developer,Project Management department,167 550,366859,476860,369 338,227 037,127 170,389 647,332 056,279133,229 752,329 300,108 289,144 299,161 795,213 252,320194,234877,269 610,395 495,281 650,293 610,431 272,175535,463170,421 643,132875,360 133,421 775,401782,182174,336809,191333,441 665,222 391,124 872,154 503,261840,290774,281 641,270957,134 667,410397,352 239,343588,474067,341128,402592,448353,432822,401303,167901,221361,374 227,488 052,355 221,289884,127 456,487560,212846,339 811,306 611,215267,328 046,243 829,249280,472 387,277 323,376 269,451 785,479664,358 366,291341,248920,171 828,284 760,438 286,424230,311 399,407041,140916,352 138,319 578,476302,258609,162457,184808,413097,251 100,111 607,190132,142 426,183 331
Kyrylo Melnyk,Junior QA,HR department,445 516,262717,402077,177 405,307 412,272 624,263 679,425 190,164764,455542,479 331,159 113,366 893,376 463,430 261,469867,199402,223 274,342 820,373 073,499 933,368 848,397496,231816,435 624,216 662,183 484,391 040,293 109,444359,236858,211196,308961,164637,497 169,121 369,113958,343179,185 302,239 344,261 269,406 142,399 253,269032,135895,398071,377743,424 857,330 518,211 823,141006,447007,492 108,213 482,383968,276 732,309802,198729,197631,263 287,280 534,354 819,415 281,330 685,295072,244835,407 548,228 230,110 856,161 092,114 059,212831,190573,442896,190 050,305 808,276 576,207 579,384382,124503,158022,464 733,192 409,258 052,124 665,361618,236280,127 074,476512,280 345,194 814,101 486
Taras Demchenko,HR Specialist,HR department,228 105,327981,375309,115 811,191 097,111 795,388 776,384 498,286055,437592,296 296,495607,117 804,116 596,182 928,284865,281870,263 807,325317,477 602,348 098,228 519,164556,402210,128 615,466 995,407326,432156,225601,149510,146907,346569,209348,181 154,399500,180 203,479506,383480,497 774,149033,272700,426 685,417966,243004,387200,332 873,390 328,448 607,161 324,268 434,115874,213875,358 368,244981,248 872,479 891,255 227,465099,179442,275 237,143 223,154 432,320 211,223 272,472028,430498,478 380,151 505,451 998,431 078,261 927,154491,441953,116249,189 013,219 915,409 248,132 153,259273,334422,389416,489734,263 500,106 989,319 267,308017,470744,456 495,241 724,340 911,211 232,373 757
Oleksii Hryhorenko,Middle Developer,HR department,116180,149831,341411,423081,437178,428277,163062,226335,445573,388341,300336,386675,444523,250762,270528,227144,151778,139772,227250,371835,189349,157008,276993,266347,361855,438823,245384,317061,175283,237174,407790,323387,189028,224322,162068,436235,479980,102879,177125,280681,477053,473682,428231,480318,351837,110080,343667,339 931,311012,305 631,313962,131625,137 029,133 386,215227,105 062,144 057,330 302,242988,404225,223 313,455 873,391 578,293072,253982,353921,424 428,263 785,448 733,446 072,313931,303908,390648,418 510,271789,221 257,153 021,162435,365411,342678,436 167,202 538,457 723,353 567,416 601,381736,170207,167 186,100 692,181 885,387 935,402 953
Danylo Horbach,UI/UX Designer,Project Management department,252435,281782,491804,405011,321932,319272,152503,338093,341445,209800,407163,251511,166848,444241,170728,438708,445829,242 198,366669,390 396,298 049,288 848,224956,286979,135 636,264 856,276 112,176067,227 871,269661,346 352,145073,324168,357873,461491,478 796,359550,456879,253 041,275115,163843,367829,464 364,402049,318521,246 432,201 940,423 990,229964,198 803,284786,369682,205 115,387818,438090,475 084,469 777,323719,180723,462364,189 840,328 652,158 880,302 624,393067,208990,409 325,410 136,129078,404 178,493 029,255406,301383,159 940,294 524,127 849,179970,131280,186502,389228,345587,199 099,345230,405402,418189,286973,377720,417321,476 548,367 140,179 844,266 652
Petro Lytvynenko,UI/UX Designer,HR department,176667,317938,296891,219839,218955,144367,250228,414977,303360,188365,152245,330486,383458,166204,422983,223861,467500,173733,411008,421843,490773,116753,281618,475739,225378,309585,288206,438054,452603,139099,102164,490429,352766,387672,474187,147863,474810,200685,258824,467248,273119,495754,169321,424672,334381,321059,410634,407779,427870,415785,119212,176152,337955,152816,314941,153372,481068,420413,325344,220677,242135,415639,296786,414263,214753,358430,243378,497905,127017,466727,460019,403152,307116,358114,117340,235379,160820,143917,111255,463440,180911,229672,168036,138791,221709,139145,371657,149617,299172,204919,421311,239061
Ivan Panchenko,Team Lead,Development department,325969,435355,232027,293474,431674,141950,310131,477831,494601,205596,385409,127498,383582,146427,318107,305063,400065,284322,398277,394089,224790,313383,306732,430010,415730,308438,224999,104714,208456,356004,466794,413231,487955,339964,270363,474052,472590,369184,340665,237494,487534,151163,271597,355663,312731,301488,284700,124909,395615,319873,190025,169722,340647,202184,126632,294774,165725,202867,460196,327931,141754,262773,341581,148804,152021,267048,461704,498154,122334,136575,433387,375031,239965,139978,454063,433022,141079,227301,356942,154017,196663,304720,385736,474286,258255,357548,228381,454492,465106,299347,408660,266636
Vitalii Sydorenko,UI/UX Designer,Project Management department,325699,185366,332156,397841,368061,123290,406836,333527,344928,319541,254145,108959,179855,102241,450589,121745,152686,454152,279993,411845,236045,323496,174163,291979,110435,190406,188670,474115,174621,381761,487903,130475,346191,229012,142061,432724,398130,444710,466277,165850,432593,453849,397755,160572,343863,325739,110128,297065,365059,455234,111349,445539,192211,410228,413097,113275,270787,287852,479125,278121,476834,462958,415272,339091,400922,272854,467726,403727,359672,484491,303266,443604,315546,295056,338079,330062,273995,355480,497135,471127,134301,293102,148062,413732,280201,275420,311601,440619,107425,110335,241589,231125
Leonid Zhyliuk,Middle Developer,Development department,431390,494596,430080,227144,342721,492557,133114,273384,116735,299895,117216,281659,231448,142899,429557,125703,185777,159959,300457,491686,207047,302028,488364,440316,285733,453599,469146,187697,338883,424731,165120,274485,276255,252030,334559,274810,177565,210590,275506,467363,456816,194960,229551,193875,118496,391860,275414,454968,295401,432411,315874,101572,105882,156035,368910,329962,335297,389929,350753,302610,248892,263988,166502,356181,394060,352109,327837,166422,499655,420775,320187,268536,451525,340473,416352,176456,289718,238165,182768,155236,446427,201374,228762,436199,159324,220446,276250,165283,211841,358150,119800,350454
Yevhen Shapovalov,DevOps Engineer,HR department,141779,414504,109003,420551,142503,361568,329516,174042,376624,313479,364364,360181,270011,485012,433544,340254,273862,468948,265039,247593,100136,412324,399073,286779,257190,429321,124830,327838,401666,475215,303602,457696,437936,133045,122398,128310,166658,350973,190974,325954,451661,304583,469282,191078,478254,209371,358778,154932,473053,289071,189385,285921,291152,209131,247499,424124,361962,182340,172453,475492,254908,195942,136924,362992,125396,471128,118434,377799,370118,207860,153776,282290,389917,218428,452447,209978,228229,203056,181296,322849,235803,220719,101289,283877,495061,462736,228827,172265,389248,280274,332712,240904
Mykola Tkachenko,Senior QA,Development department,435256,312268,227325,381245,192891,271536,452237,424780,173444,245169,212575,377475,271615,315038,235681,460476,115599,155894,234287,358412,162008,205255,284763,462628,425305,105828,387544,175107,209040,224696,372612,322850,431814,152084,416643,336309,281397,431530,196924,303253,289023,416279,413011,333962,427581,415651,214661,351592,387097,123405,399017,192373,293360,409076,375943,271765,240790,273327,318972,314433,229013,478786,350491,480743,228365,340203,472261,150540,167347,288902,162674,295570,400994,407109,375106,310864,341689,460540,279838,323772,357373,372506,491819,207984,182078,101882,425237,277857,115412,205890,234509,130752
Taras Kuzmenko,HR Specialist,Project Management department,117439,455438,277351,363202,497107,425728,479972,286287,462256,241177,138378,477323,372978,166845,442577,360970,497660,179440,443843,353802,395379,241610,203839,351783,305638,453890,451005,426455,374785,293721,420078,325994,456763,246630,347709,176472,161089,179433,284820,108239,192245,398972,440984,217016,491438,349906,171821,279932,484321,429642,184310,260382,440213,398277,215521,143302,323964,497130,391374,424624,468612,456336,174869,138671,294256,479259,425113,203611,142957,261587,314335,355652,424867,209350,358337,211923,256663,395685,250339,152543,380698,404367,230834,295236,358751,160153,466521,181376,412353,491007,262477,467923
Dmytro Shcherbak,Middle Developer,Development department,212263,340205,388960,467872,393976,305934,300024,137020,404883,162244,386115,389992,463432,289575,288587,437786,258867,250908,490011,119502,436314,209431,351197,250251,349006,172630,122565,359768,163080,381709,419159,260358,102922,439823,197278,486682,414426,452290,285175,239726,482426,490093,254179,116079,198541,407060,188915,210912,175526,411713,157078,192960,407076,191425,304311,440415,220822,393566,274712,307051,321190,178523,322288,109159,471346,234700,457225,415292,139963,260823,484940,270787,107839,491457,286583,293611,182104,196454,167117,136070,208617,150980,174102,287438,155062,356393,339906,496332,334231,470788,368979,274759
Maksym Kovalenko,Senior Developer,Project Management department,178504,372485,429948,441201,254794,373975,300533,294037,430114,245085,181875,124513,310738,111242,288670,185533,130075,446383,176271,459585,308078,310781,217575,252798,266508,330760,478202,405306,319814,229352,225232,305396,202166,226022,322726,245459,491605,499372,144966,306485,264699,461096,200207,359835,145487,172300,245392,372684,308342,444936,443882,273823,434086,171470,372572,450445,437450,380637,215763,226445,298583,142273,390256,448052,331154,400124,457307,348415,420422,487768,120686,321484,333380,225255,499493,260853,232551,354975,236045,457396,153783,101083,179379,319583,446717,351310,169491,387824,397478,284227,466810,383686
